pergunta,resposta
Pergunta: Qual a finalidade da Resolução mencionada no texto em relação ao Exame Nacional de Desempenho dos Estudantes?,"
Resposta: A Resolução tem como objetivo tornar o Exame Nacional de Desempenho dos Estudantes uma disciplina obrigatória em todas as matrizes curriculares dos cursos de graduação da Universidade Federal do Amazonas, visando garantir que todos os alunos estejam cientes da sua obrigatoriedade e participação no exame."
"Pergunta: O que a Universidade Federal do Amazonas proíbe aos alunos, de acordo com a legislação mencionada?","
Resposta: De acordo com a legislação mencionada, a Universidade Federal do Amazonas proíbe oficialmente qualquer inclusão de trabalho acadêmico escolar que tenha sido realizado pelos alunos, considerando nulo tal ato."
Pergunta: Qual é o objetivo da legislação mencionada no conteúdo apresentado?,"
Resposta: A legislação tem como objetivo garantir um tratamento excepcional a alunos portadores de afecções, assegurando o direito à educação mesmo em condições de saúde que dificultem sua frequência escolar regular. Isso inclui a possibilidade de aulas domiciliares e acompanhamento escolar adaptado às necessidades de cada aluno."
Pergunta: Quais são os princípios fundamentais que norteiam as diretrizes curriculares nacionais para a formação inicial e continuada de professores no Brasil?,"
Resposta: Os princípios fundamentais incluem sólida formação teórica, interdisciplinaridade, unidade no trabalho coletivo, compromisso social, valorização profissional, gestão democrática, avaliação e regulação dos cursos de formação de professores."
Pergunta: Qual é o objetivo da chamada pública nº XX da Universidade Federal do Amazonas em relação ao credenciamento de agentes de integração?,"
Resposta: A chamada pública tem como objetivo viabilizar a concessão de estágio obrigatório para estudantes dos cursos de graduação da instituição, conforme previsto na legislação vigente, por meio do credenciamento de agentes de integração que atuarão nesse processo."
Qual é a estrutura responsável pela coordenação das atividades acadêmicas da Universidade Federal do Amazonas?,"
A Reitoria é a estrutura responsável pela coordenação das atividades acadêmicas da Universidade Federal do Amazonas, exercendo funções executivas de supervisão e planejamento em áreas como ensino, pesquisa, extensão, administração financeira e assuntos comunitários."
Pergunta: Qual é a importância do reconhecimento de diplomas de cursos superiores pela legislação da Universidade Federal do Amazonas?,"
Resposta: O reconhecimento de diplomas de cursos superiores é fundamental para garantir a validade nacional dos títulos concedidos pela Universidade Federal do Amazonas, conforme estabelecido na legislação vigente. Este processo assegura que os profissionais formados estejam aptos a exercer suas atividades em conformidade com as normas e regulamentações da área."
Pergunta: Qual é a legislação que rege o calendário acadêmico da graduação na Universidade Federal do Amazonas?,"
Resposta: O calendário acadêmico da graduação na Universidade Federal do Amazonas é regido por resoluções e portarias específicas, como a Resolução nº X e a Portaria nº Y, que estabelecem o início e término das atividades letivas, provas finais, datas de registro e conclusão dos cursos, entre outras diretrizes."
Pergunta: Qual é a legislação da Universidade Federal do Amazonas que regulamenta o uso de scanners e equipamentos de digitalização?,"
Resposta: A legislação referente ao uso de scanners e equipamentos de digitalização na Universidade Federal do Amazonas está prevista no Regulamento Geral dos Laboratórios da UFAM, que estabelece as normas e diretrizes para a utilização desses recursos tecnológicos dentro da instituição. É importante consultar esse documento para estar em conformidade com as regras vigentes."
Qual é a finalidade da Universidade Federal do Amazonas?,"A finalidade da Universidade Federal do Amazonas é cultivar o saber em todos os campos do conhecimento, tanto puro quanto aplicado, formar profissionais aptos para diversos setores, promover pesquisa científica e tecnológica, assim como difundir a cultura e o conhecimento para benefício da sociedade."
"Pergunta: Quais são os procedimentos e critérios estabelecidos pela portaria do Ministério da Educação para denúncias de supostas fraudes no uso de cotas para pretos, pardos e indígenas na graduação da Universidade Federal do Amazonas?","
Resposta: A portaria estabelece que as denúncias devem ser formalmente registradas junto ao Departamento de Registro Acadêmico, o discente denunciado será convocado para um procedimento administrativo, realizado por uma comissão que verificará a autodeclaração do estudante, levando em consideração seu fenótipo como critério exclusivo para homologação. Em caso de não comparecimento ou repetição de ausência, a matrícula poderá ser cancelada."
"Pergunta: Quais são os procedimentos e requisitos necessários para o credenciamento e oferta de cursos profissionais de nível superior na área de desporto, de acordo com a legislação mencionada?","
Resposta: Para o credenciamento e oferta de cursos profissionais de nível superior na área de desporto, é necessário que a instituição interessada apresente um protocolo geral ao Ministério do Esporte, cumprindo as diretrizes estabelecidas na lei. Além disso, deve contemplar critérios como sede, capacidade jurídica da mantenedora, equipe docente qualificada, recursos adequados e plano educacional detalhado. O processo inclui também a análise dos aspectos pedagógicos, estrutura física, recursos didáticos e plano acadêmico do curso."
Pergunta: Qual é o prazo máximo para solicitar a revisão de exercícios escolares e provas finais de acordo com a resolução da Universidade Federal do Amazonas?,"
Resposta: O prazo máximo para solicitar a revisão de exercícios escolares e provas finais é de até seis dias após a aplicação das provas finais, conforme estabelecido na resolução da Universidade Federal do Amazonas."
"Pergunta: Quais são os documentos necessários para o cadastramento na biblioteca da Universidade Federal do Amazonas, de acordo com a legislação mencionada?","
Resposta: Os documentos necessários para o cadastramento na biblioteca da Universidade Federal do Amazonas incluem documento oficial com foto, comprovante de vínculo com a instituição e documentos específicos conforme a categoria (aluno, servidor, professor), devendo ser renovados anualmente."
Pergunta: Quais são os principais pontos abordados na resolução que regulamenta o uso do nome social na Universidade Federal do Amazonas?,"
Resposta: A resolução aborda a garantia de uso do nome social por pessoas transgênero, tanto servidores quanto discentes, durante seu vínculo com a universidade. Além disso, estabelece procedimentos para inclusão e retirada do nome social nos registros acadêmicos e funcionais, assegurando dignidade e igualdade de tratamento."
Pergunta: Qual é o prazo máximo para a realização do pedido de revisão da prova final segundo as normas estabelecidas no documento citado?,"
Resposta: O pedido de revisão da prova final deve ser feito em até cinco dias úteis a partir da data de recebimento do parecer do professor disciplina."
"Pergunta: Qual a modalidade de trancamento de matrícula abordada na resolução do Conselho de Ensino, Pesquisa e Extensão da Universidade Federal do Amazonas?","
Resposta: A resolução aborda duas modalidades de trancamento de matrícula: trancamento total durante a realização do curso e trancamento de disciplinas durante o curso, com limites estabelecidos em semestres letivos consecutivos e número correspondente aos primeiros períodos respectivos."
Pergunta: Qual é a obrigatoriedade estabelecida para os professores em relação à entrega da prova final na Universidade Federal do Amazonas?,"
Resposta: De acordo com as normas da Universidade Federal do Amazonas, o professor deve entregar as provas finais dentro dos prazos estabelecidos no calendário escolar, garantindo que todos os alunos tenham recebido suas notas parciais antes da data de entrega das provas finais e formalizar o recebimento por meio da assinatura dos discentes em uma lista."
Pergunta: O que a Universidade Federal do Amazonas proíbe em relação à participação dos alunos em atividades acadêmicas?,"
Resposta: A Universidade Federal do Amazonas proíbe oficialmente a inclusão de qualquer trabalho acadêmico escolar realizado por alunos não registrados formalmente, considerando nulo o processo. Os alunos podem recorrer em caso de erro comprovado, porém não podem participar de segunda chamada de avaliações se não estiverem matriculados corretamente."
Pergunta: O que determina a Portaria do Reitor da Universidade Federal do Amazonas mencionada no texto?,"
Resposta: A Portaria do Reitor da Universidade Federal do Amazonas mencionada no texto determina a obrigatoriedade de apresentação do documento ""nada consta"" referente ao acervo bibliográfico da universidade em casos como requerimento de grau, transferência, trancamento de matrícula e transferência de curso. Além disso, estabelece medidas para garantir o controle do acervo e prevê o bloqueio de matrícula em casos de débito nas bibliotecas setoriais."
Pergunta: O que foi decidido em relação ao Programa Especial de Treinamento (PET) pela Universidade Federal do Amazonas?,"
Resposta: A Universidade Federal do Amazonas decidiu, por unanimidade, extinguir o Programa Especial de Treinamento (PET) considerando seu custo financeiro e os resultados dos alunos. A decisão foi tomada durante reunião do Conselho da universidade, com o objetivo de abrir oportunidades para novos grupos e compromissos profissionais."
Pergunta: Quais são os requisitos necessários para um aluno poder solicitar o processo de aceleração de estudos na Universidade Federal do Amazonas?,"
Resposta: O aluno interessado em acelerar seus estudos na Universidade Federal do Amazonas deve comprovar extraordinário aproveitamento de estudos via exames prestados perante banca especial, conforme previsto no regulamento específico e projeto pedagógico do curso."
"Qual é o procedimento para oferta de disciplinas em períodos especiais na Universidade Federal do Amazonas, conforme a resolução vigente? ","
De acordo com a resolução, a coordenação do curso deve solicitar a oferta da disciplina em período especial através do sistema acadêmico, indicando código, carga horária, horário, vagas disponíveis, datas de início e término da disciplina, local e professor responsável. A matrícula dos alunos é realizada pelo coordenador do curso no sistema acadêmico, seguindo o calendário previsto."
Pergunta: Qual é a finalidade do Núcleo Docente Estruturante criado pela Resolução n° X na Universidade Federal do Amazonas?,"
Resposta: O Núcleo Docente Estruturante tem como finalidade acompanhar e zelar pela aplicação das diretrizes curriculares nacionais, consolidar o perfil do curso, contribuir para o desenvolvimento da pesquisa e extensão, além de avaliar e propor melhorias no projeto pedagógico do curso."
Pergunta: Quem tem o poder de aprovar um novo regimento interno na Universidade Federal do Amazonas?,"
Resposta: O presidente do conselho universitário da Universidade Federal do Amazonas é responsável por aprovar o novo regimento interno, conforme disposto no processo proviso artigo xiv do DN."
Pergunta: Qual é o objetivo da chamada pública nº agosto da Universidade Federal do Amazonas em relação ao credenciamento de agentes integração?,"
Resposta: A chamada pública nº agosto da Universidade Federal do Amazonas refere-se ao credenciamento de agentes integração para atuarem no fornecimento de serviços auxiliares junto a entidades visando à concessão de estágios a estudantes de cursos de graduação, com duração mínima de dois anos e sem fins lucrativos."
Pergunta: Qual é o limite máximo de créditos que um aluno da Universidade Federal do Amazonas pode cursar?,"
Resposta: O limite máximo de créditos que um aluno da Universidade Federal do Amazonas pode cursar é de vinte e cinco cento total crédito, conforme estabelecido na resolução vigente."
Pergunta: Qual é a finalidade principal da Lei de Diretrizes e Bases da Educação Nacional?,"
Resposta: A finalidade principal da Lei de Diretrizes e Bases da Educação Nacional é estabelecer as diretrizes e bases da educação nacional, abrangendo os processos que envolvem a vida familiar, o convívio humano, o trabalho, as instituições de ensino, a pesquisa, os movimentos sociais e as manifestações culturais."
Pergunta: Qual é o objetivo da norma interna da Universidade Federal do Amazonas mencionada no texto?,"
Resposta: O objetivo da norma interna é disciplinar os cursos sequenciais na universidade, considerando a demanda crescente de alunos interessados em continuar seus estudos em áreas afins, viabilizando vagas para transferências e remoções entre cursos."
Qual é a finalidade do Programa de Educação Tutorial (PET) conforme disposto na legislação da Universidade Federal do Amazonas?,"O PET é desenvolvido por grupos organizados a partir dos cursos de graduação, orientados pelos princípios de ensino, pesquisa e extensão. Seus objetivos incluem o desenvolvimento de atividades acadêmicas de qualidade, a elevação da formação acadêmica dos alunos, a estímulo à formação de profissionais docentes qualificados, entre outros."
Pergunta: Qual a finalidade da resolução mencionada no texto em relação aos limites de créditos para gastos dos alunos da Universidade Federal do Amazonas?,"
Resposta: A resolução tem como objetivo definir os limites mínimos e máximos de créditos que os alunos da Universidade Federal do Amazonas podem utilizar, estabelecendo um controle financeiro para garantir o adequado uso dos recursos disponíveis."
Pergunta: Qual é a principal responsabilidade do coordenador de curso no processo de oferta de disciplinas em cada período letivo na Universidade Federal do Amazonas?,"
Resposta: O coordenador de curso é responsável por fazer a oferta de todas as disciplinas obrigatórias e optativas do período, sugerindo dias, horários e nomes dos professores. Além disso, ele deve manter diálogo com o chefe acadêmico para eventuais alterações e garantir que a alocação dos professores seja feita de acordo com as diretrizes estabelecidas."
Pergunta: Qual órgão da Universidade Federal do Amazonas foi responsável por aprovar o regimento interno do Centro mencionado no texto?,"
Resposta: O Conselho da Universidade Federal do Amazonas foi o responsável por aprovar o regimento interno do Centro mencionado no texto."
"Pergunta: Qual decreto alterou a legislação que regulamenta o uso do patrimônio público federal para promover atividades desportivas, conforme previsto na Lei de dezembro?","
Resposta: O Decreto nº  abril alterou os arts.  fevereiro da legislação que regulamenta o uso do patrimônio público federal para promover atividades desportivas, em conformidade com o disposto na Lei de dezembro."
Qual é o objetivo da carta de serviços ao usuário da Universidade Federal do Amazonas?,"
A carta de serviços ao usuário da Universidade Federal do Amazonas tem como objetivo informar sobre os serviços prestados, formas de acesso, qualidade do atendimento e como solicitar esses serviços, visando facilitar o acesso dos usuários às informações necessárias."
"Qual é o objetivo principal da Resolução nº X do Conselho de Ensino, Pesquisa e Extensão da Universidade Federal do Amazonas? ","
O objetivo principal da Resolução nº X é estabelecer normas que norteiam o aproveitamento de estudos, visando a otimização do processo de administração acadêmica, incluindo critérios como densidade, qualidade e adequação dos estudos realizados em cursos de graduação reconhecidos no Brasil e no exterior."
"Qual é o procedimento estabelecido pela Universidade Federal do Amazonas para verificação de autodeclaração de candidatos pretos, pardos e indígenas em processos administrativos de denúncias de supostas fraudes no uso das cotas? ","
A UFAM estabelece que a comissão responsável pela verificação deve ser composta por no mínimo três membros, indicados pela portaria da graduação, que participaram de palestras ou projetos relacionados ao tema. A avaliação é baseada no fenótipo do discente, excluindo considerações sobre ascendência, e caso a autodeclaração seja homologada, o processo é encaminhado para arquivamento após ciência do discente. Em caso de indeferimento, o discente pode interpor recurso uma única vez dentro do prazo estipulado."
"Pergunta: Quais são os procedimentos necessários para a oferta de disciplinas em cada semestre na Universidade Federal do Amazonas, de acordo com a resolução mencionada?","
Resposta: De acordo com a resolução, o coordenador do curso deve fazer a oferta de todas as disciplinas obrigatórias e optativas para o período, podendo incluir ofertas extras. Após análise e concordância do chefe acadêmico, a alocação de professores e espaços físicos é feita via sistema integrado de ensino (SIE), mantendo diálogo para possíveis alterações."
Pergunta: Qual foi o programa aprovado pelo Conselho Universitário da Universidade Federal do Amazonas em junho?,"
Resposta: O programa aprovado foi o de Educação à Distância, no âmbito da Universidade Federal do Amazonas, conforme os termos propostos pela Faculdade de Educação."
Qual é o objetivo do Programa de Educação Tutorial (PET) conforme a Portaria do Ministério da Educação mencionada?,"
O PET tem como objetivos desenvolver atividades acadêmicas de qualidade, estimular a formação profissional dos alunos de graduação, contribuir para a modernização do ensino superior, promover a cidadania e atuar na correção das desigualdades regionais."
Qual é o objetivo da Educação de acordo com a legislação citada?,"O objetivo da Educação, segundo a legislação mencionada, é desenvolver o educando para o pleno exercício da cidadania, prepará-lo para o mundo do trabalho e qualificá-lo, promovendo seu desenvolvimento integral e formação básica comum, inspirados nos princípios da liberdade, ideais solidariedade humana e valorização profissional."
Qual é o prazo estabelecido para que um discente solicite a revisão de exercícios escolares e provas finais de acordo com a resolução da Universidade Federal do Amazonas?,"O discente tem até seis dias após a aplicação das provas finais para solicitar a revisão, conforme estabelecido na resolução."
Qual é a finalidade da Universidade Federal do Amazonas de acordo com o conteúdo fornecido?,"A finalidade da Universidade Federal do Amazonas é cultivar o saber em todos os campos do conhecimento, estimular a criação cultural, formar diplomados em diferentes áreas, promover pesquisa científica e tecnológica, manter-se comprometida com a realidade amazônica e os povos indígenas, além de promover a extensão aberta à população."
Pergunta: Qual é o órgão responsável por aprovar a média final dos estudantes na Universidade Federal do Amazonas?,"
Resposta: O órgão responsável por aprovar a média final dos estudantes na Universidade Federal do Amazonas é o Conselho de Ensino, Pesquisa e Extensão, conforme estabelecido pela legislação da instituição."
"Pergunta: Quais são os procedimentos e critérios estabelecidos pela Portaria do Ministério da Educação para denúncias de supostas fraudes no uso de cotas para pretos, pardos e indígenas na graduação da Universidade Federal do Amazonas?","
Resposta: A portaria estabelece que as denúncias devem ser formalizadas ao departamento de registro acadêmico, o discente denunciado será convocado para um procedimento administrativo, havendo a verificação da autodeclaração por uma comissão e considerando o fenótipo como critério principal. Em caso de homologação da autodeclaração, o discente poderá interpor recurso."
"Pergunta: Quais são os beneficiários do benefício de pagamento de metade do preço do ingresso em eventos culturais e esportivos, conforme a legislação citada?","
Resposta: Os beneficiários do benefício são estudantes, idosos, pessoas com deficiência e jovens de baixa renda inscritos no Cadastro Único dos Programas Sociais do Governo Federal. Eles devem comprovar sua condição por meio da apresentação da carteira de identificação estudantil ou documentação específica."
Pergunta: O que determina a proibição de alunos turmas funcionais na Universidade Federal do Amazonas?,"
Resposta: De acordo com a legislação da Universidade Federal do Amazonas, a proibição de alunos em turmas funcionais se baseia na Resolução do Conselho de Ensino e Pesquisa da UFAM, que considera nulo qualquer trabalho acadêmico ou escolar realizado por alunos não oficialmente matriculados, exceto em casos de recurso por erro comprovado."
Pergunta: Qual decreto federal regulamentou o uso do sistema de informação integrado pela Universidade Federal do Amazonas em fevereiro?,"
Resposta: O decreto federal de abril alterou os artigos referentes ao sistema de informação integrado da Universidade Federal do Amazonas, conforme regulamentado pelo presidente da República de acordo com a Lei n° 10.260/2001."
Pergunta: Qual é o objetivo do Programa de Mobilidade Estudantil estabelecido pela Universidade Federal do Amazonas?,"
Resposta: O Programa de Mobilidade Estudantil destina-se a permitir que instituições federais de ensino superior temporariamente troquem disciplinas entre cursos de graduação, visando ampliar as experiências acadêmicas dos alunos envolvidos."
Qual é o objetivo da carta serviço do usuário da Universidade Federal do Amazonas? ,"
A carta serviço do usuário da Universidade Federal do Amazonas tem como objetivo informar os usuários sobre os serviços prestados pelo órgão, formas de acesso e compromissos de qualidade no atendimento público."
Pergunta: Qual é o objetivo da Portaria nº X do Ministério da Educação da Universidade Federal do Amazonas em relação ao aproveitamento de atividades realizadas no programa de residência pedagógica e estágio obrigatório?,"
Resposta: O objetivo da Portaria é determinar que as atividades realizadas no programa de residência pedagógica sejam aproveitadas como estágio obrigatório nos cursos de licenciatura participantes do programa, desde que os discentes cumpram a carga horária exigida e solicitem o aproveitamento através do portal específico, anexando a comprovação da conclusão do programa."
Pergunta: O que foi aprovado pelo Conselho Universitário da Universidade Federal do Amazonas em junho?,"
Resposta: O Conselho Universitário da Universidade Federal do Amazonas aprovou o programa de educação à distância proposto pela faculdade, conforme decisão tomada na reunião ordinária realizada em junho, com base no parecer favorável do relator e aprovado pela maioria dos votos."
Pergunta: Qual é o órgão da Universidade Federal do Amazonas mencionado no texto que tem competência para estabelecer normas relacionadas ao ensino e pesquisa?,"
Resposta: O Conselho de Ensino, Pesquisa e Extensão (CEPE) é o órgão da Universidade Federal do Amazonas responsável por estabelecer normas relacionadas ao ensino e pesquisa."
Pergunta: Qual é o objetivo principal da Lei que estabelece normas gerais e critérios básicos para a promoção da acessibilidade de pessoas com deficiência e mobilidade reduzida?,"
Resposta: O objetivo principal da Lei é eliminar as barreiras arquitetônicas e urbanísticas, bem como promover a acessibilidade em vias públicas, espaços públicos, mobiliário urbano, edificações, meios de transporte e comunicação, garantindo autonomia, segurança e inclusão das pessoas com deficiência e mobilidade reduzida."
Pergunta: Qual é o órgão responsável por desencadear o processo de jubilação dos discentes da Universidade Federal do Amazonas?,"
Resposta: O processo de jubilação dos discentes da Universidade Federal do Amazonas é desencadeado mediante ação conjunta da Ensino de Graduação e do Centro de Tecnologia da Informação e Comunicação (CIC)."
"Pergunta: Quais são os principais critérios para a exclusão de um discente da Universidade Federal do Amazonas, conforme a Resolução mencionada?","
Resposta: O discente pode ser excluído do cadastro da universidade caso ultrapasse o tempo máximo estipulado para conclusão do curso especificado no projeto pedagógico e não efetive matrícula por quatro semestres consecutivos. Além disso, a exclusão também pode ocorrer em virtude de sanção disciplinar, seguindo procedimentos próprios estabelecidos pela instituição."
Qual é o objetivo do programa de monitoria da Universidade Federal do Amazonas? ,"
O programa de monitoria da Universidade Federal do Amazonas tem como objetivo iniciar e estimular a participação ativa dos alunos de graduação em diversas atividades docentes no nível superior, proporcionando apoio e incentivo à docência no ensino superior."
"Pergunta: Qual foi a decisão tomada pela Agência Nacional de Aviação Civil em setembro, referente ao funcionamento de uma empresa de transporte aéreo regular?","
Resposta: A Agência Nacional de Aviação Civil decidiu autorizar o funcionamento jurídico da sociedade VRG Linhas Aéreas S.A., com sede no Rio de Janeiro, para prestação de serviços de transporte aéreo regular de passageiros e carga, com prazo de 12 meses a partir da data da publicação da decisão."
Pergunta: Qual é a medida adotada pela Universidade Amazonas em relação ao controle do acervo bibliográfico e como isso pode impactar os estudantes?,"
Resposta: A Universidade Amazonas resolveu que é obrigatória a apresentação de ""nada consta"" referente aos débitos nas bibliotecas setoriais para casos como requerimento de grau, transferência, trancamento de matrícula ou transferência de curso. Caso haja débito, a matrícula pode ser bloqueada até a regularização da situação."
